!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Tue Mar 28 10:57:36 2023

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+1.65626668750e+006, +4.21192779631e+002, -6.58597576112e+003
+1.66251667500e+006, +4.09847695139e+002, -6.56999866219e+003
+1.66876666250e+006, +4.13446426781e+002, -6.53163869717e+003
+1.67501665000e+006, +4.11638773072e+002, -6.51619952182e+003
+1.68126663750e+006, +4.08505996496e+002, -6.49403255458e+003
+1.68751662500e+006, +4.05984215070e+002, -6.46730747981e+003
+1.69376661250e+006, +4.10602950010e+002, -6.44906053641e+003
+1.70001660000e+006, +3.99385515945e+002, -6.42640026968e+003
+1.70626658750e+006, +4.05498607564e+002, -6.40318205319e+003
+1.71251657500e+006, +3.98865905090e+002, -6.37606967061e+003
+1.71876656250e+006, +3.98385908916e+002, -6.35681971858e+003
+1.72501655000e+006, +3.91795131423e+002, -6.33305762253e+003
+1.73126653750e+006, +3.96195909202e+002, -6.31611029672e+003
+1.73751652500e+006, +3.95641593661e+002, -6.28891520912e+003
+1.74376651250e+006, +3.89902542026e+002, -6.27480163149e+003
+1.75001650000e+006, +3.87349718254e+002, -6.25227979037e+003
+1.75626648750e+006, +3.93295980171e+002, -6.23380994468e+003
+1.76251647500e+006, +3.81041239032e+002, -6.21030234909e+003
+1.76876646250e+006, +3.88735506782e+002, -6.18981517037e+003
+1.77501645000e+006, +3.84821001510e+002, -6.16716850299e+003
+1.78126643750e+006, +3.84299406788e+002, -6.14382060556e+003
+1.78751642500e+006, +3.90455188874e+002, -6.12360507373e+003
+1.79376641250e+006, +3.80872875859e+002, -6.10242611906e+003
+1.80001640000e+006, +3.80666958055e+002, -6.08531032679e+003
+1.80626638750e+006, +3.73893938678e+002, -6.06523900512e+003
+1.81251637500e+006, +3.70783986161e+002, -6.03875956197e+003
+1.81876636250e+006, +3.80147830087e+002, -6.01938806735e+003
+1.82501635000e+006, +3.73261304262e+002, -6.00823986219e+003
+1.83126633750e+006, +3.65673736487e+002, -5.98111931571e+003
+1.83751632500e+006, +3.70564972843e+002, -5.96586189601e+003
+1.84376631250e+006, +3.72718594966e+002, -5.93875819127e+003
+1.85001630000e+006, +3.72751668101e+002, -5.92474288767e+003
+1.85626628750e+006, +3.65080974901e+002, -5.91092957152e+003
+1.86251627500e+006, +3.69925150554e+002, -5.88431529889e+003
+1.86876626250e+006, +3.66155032300e+002, -5.87237476938e+003
+1.87501625000e+006, +3.61933138397e+002, -5.84368153009e+003
+1.88126623750e+006, +3.61373495247e+002, -5.83783439319e+003
+1.88751622500e+006, +3.58604570849e+002, -5.81426721440e+003
+1.89376621250e+006, +3.60567030577e+002, -5.79621560203e+003
+1.90001620000e+006, +3.60143503896e+002, -5.77185489877e+003
+1.90626618750e+006, +3.55219508408e+002, -5.75949193877e+003
+1.91251617500e+006, +3.52593822698e+002, -5.74366518561e+003
+1.91876616250e+006, +3.54937026547e+002, -5.72532552758e+003
+1.92501615000e+006, +3.50417102495e+002, -5.70339026371e+003
+1.93126613750e+006, +3.44132891435e+002, -5.68474455307e+003
+1.93751612500e+006, +3.46811752619e+002, -5.67390724856e+003
+1.94376611250e+006, +3.41928219824e+002, -5.65033668716e+003
+1.95001610000e+006, +3.49530722059e+002, -5.63570346616e+003
+1.95626608750e+006, +3.47786053693e+002, -5.62069359067e+003
+1.96251607500e+006, +3.44742702143e+002, -5.59758249177e+003
+1.96876606250e+006, +3.46937280293e+002, -5.58204318006e+003
+1.97501605000e+006, +3.44840275803e+002, -5.56584926535e+003
+1.98126603750e+006, +3.38126198502e+002, -5.54565684521e+003
+1.98751602500e+006, +3.38238215281e+002, -5.53346873278e+003
+1.99376601250e+006, +3.37736226438e+002, -5.51343070003e+003
+2.00001600000e+006, +3.43767920889e+002, -5.50077676866e+003
+2.00626598750e+006, +3.33791658741e+002, -5.47995096515e+003
+2.01251597500e+006, +3.35924817196e+002, -5.46777685060e+003
+2.01876596250e+006, +3.34740149575e+002, -5.44835403856e+003
+2.02501595000e+006, +3.30616830507e+002, -5.43405279718e+003
+2.03126593750e+006, +3.35338561193e+002, -5.41563759076e+003
+2.03751592500e+006, +3.28180125060e+002, -5.40150911293e+003
+2.04376591250e+006, +3.28739471422e+002, -5.38767042072e+003
+2.05001590000e+006, +3.32003367152e+002, -5.37400223266e+003
+2.05626588750e+006, +3.26074482642e+002, -5.35393009082e+003
+2.06251587500e+006, +3.23202652237e+002, -5.33873388005e+003
+2.06876586250e+006, +3.23950743875e+002, -5.32583702292e+003
+2.07501585000e+006, +3.23158549744e+002, -5.30779106370e+003
+2.08126583750e+006, +3.21735031194e+002, -5.29538473809e+003
+2.08751582500e+006, +3.19543090831e+002, -5.27517193110e+003
+2.09376581250e+006, +3.16695873665e+002, -5.26269748062e+003
+2.10001580000e+006, +3.16420817081e+002, -5.24710624656e+003
+2.10626578750e+006, +3.20387730706e+002, -5.23276827759e+003
+2.11251577500e+006, +3.18774793555e+002, -5.21846654759e+003
+2.11876576250e+006, +3.13138238793e+002, -5.20796156907e+003
+2.12501575000e+006, +3.12554810001e+002, -5.18618699232e+003
+2.13126573750e+006, +3.13612847497e+002, -5.17406814665e+003
+2.13751572500e+006, +3.12163688880e+002, -5.16157039533e+003
+2.14376571250e+006, +3.09082902260e+002, -5.14383415905e+003
+2.15001570000e+006, +3.16123494780e+002, -5.12588396842e+003
+2.15626568750e+006, +3.13683186269e+002, -5.11433344751e+003
+2.16251567500e+006, +3.10901494651e+002, -5.10114780915e+003
+2.16876566250e+006, +3.08812390385e+002, -5.09020599932e+003
+2.17501565000e+006, +3.09833596693e+002, -5.07181073562e+003
+2.18126563750e+006, +3.06696419123e+002, -5.06169343416e+003
+2.18751562500e+006, +3.04593665775e+002, -5.04645916087e+003
+2.19376561250e+006, +3.06704296709e+002, -5.03273145952e+003
+2.20001560000e+006, +3.05345283174e+002, -5.01938410467e+003
+2.20626558750e+006, +2.99865538097e+002, -5.00873933398e+003
+2.21251557500e+006, +3.06494956450e+002, -4.99174516997e+003
+2.21876556250e+006, +2.96599461919e+002, -4.98093573606e+003
+2.22501555000e+006, +3.04307133476e+002, -4.96472226587e+003
+2.23126553750e+006, +3.00937787668e+002, -4.94985829129e+003
+2.23751552500e+006, +2.97831741799e+002, -4.93965419114e+003
+2.24376551250e+006, +2.96207572149e+002, -4.92531843403e+003
+2.25001550000e+006, +2.97247397976e+002, -4.91292872353e+003
+2.25626548750e+006, +2.92405106950e+002, -4.89876749396e+003
+2.26251547500e+006, +2.97538563394e+002, -4.88821155939e+003
+2.26876546250e+006, +2.91988810869e+002, -4.87370782797e+003
+2.27501545000e+006, +2.94466867836e+002, -4.85838641577e+003
+2.28126543750e+006, +2.88161581327e+002, -4.84812774199e+003
+2.28751542500e+006, +2.89738705710e+002, -4.83474286135e+003
+2.29376541250e+006, +2.90362835077e+002, -4.81908432366e+003
+2.30001540000e+006, +2.88084075950e+002, -4.80816875996e+003
+2.30626538750e+006, +2.87930550773e+002, -4.79317732014e+003
+2.31251537500e+006, +2.86412450415e+002, -4.78169836790e+003
+2.31876536250e+006, +2.90698418573e+002, -4.77105399654e+003
+2.32501535000e+006, +2.84081434233e+002, -4.75900974167e+003
+2.33126533750e+006, +2.83316733085e+002, -4.74561570443e+003
+2.33751532500e+006, +2.84127700644e+002, -4.73449756928e+003
+2.34376531250e+006, +2.81238118461e+002, -4.72007964693e+003
+2.35001530000e+006, +2.78615665112e+002, -4.71074707362e+003
+2.35626528750e+006, +2.79265298637e+002, -4.69435710030e+003
+2.36251527500e+006, +2.80048182771e+002, -4.68700925738e+003
+2.36876526250e+006, +2.75869885462e+002, -4.67665048700e+003
+2.37501525000e+006, +2.75968000620e+002, -4.66073296176e+003
+2.38126523750e+006, +2.79676520477e+002, -4.65215143942e+003
+2.38751522500e+006, +2.80012011747e+002, -4.64018513601e+003
+2.39376521250e+006, +2.74445858216e+002, -4.62704234307e+003
+2.40001520000e+006, +2.74270794021e+002, -4.61532140784e+003
+2.40626518750e+006, +2.74478974305e+002, -4.60438653709e+003
+2.41251517500e+006, +2.72907337760e+002, -4.59662577960e+003
+2.41876516250e+006, +2.73704798533e+002, -4.58274643006e+003
+2.42501515000e+006, +2.72627356475e+002, -4.56928385200e+003
+2.43126513750e+006, +2.71783319250e+002, -4.56006309104e+003
+2.43751512500e+006, +2.71021317950e+002, -4.55098372149e+003
+2.44376511250e+006, +2.68732358561e+002, -4.53223439857e+003
+2.45001510000e+006, +2.67376574887e+002, -4.52621656366e+003
+2.45626508750e+006, +2.66369052340e+002, -4.51416311741e+003
+2.46251507500e+006, +2.67360186026e+002, -4.50499771959e+003
+2.46876506250e+006, +2.67473839715e+002, -4.49317859273e+003
+2.47501505000e+006, +2.63381593371e+002, -4.48597581152e+003
+2.48126503750e+006, +2.64404429662e+002, -4.47064569381e+003
+2.48751502500e+006, +2.64268575493e+002, -4.46088685463e+003
+2.49376501250e+006, +2.60899442946e+002, -4.44939650070e+003
+2.50001500000e+006, +2.63054995418e+002, -4.43890200228e+003
+2.50626498750e+006, +2.60863085717e+002, -4.42733340827e+003
+2.51251497500e+006, +2.61334304796e+002, -4.41925618841e+003
+2.51876496250e+006, +2.55256111372e+002, -4.41016816066e+003
+2.52501495000e+006, +2.60287469037e+002, -4.39953553412e+003
+2.53126493750e+006, +2.57198528076e+002, -4.39020198662e+003
+2.53751492500e+006, +2.56083447343e+002, -4.37688666448e+003
